,Poster_ID,Poster_Location
0,R_21HvIc7qlSX11ZM,1a
1,R_2ZJRCK5hj0zhs1o,1b
2,R_oY3mYA6ykX2NCLv,1c
3,R_3dSSaFGVIcHQ3AB,1d
4,R_1jBejsKdN7j1Q00,1e
5,0,1f
6,R_3erhyu7B5VGpoy6,2a
7,R_2uIZInLZQW9weeW,2b
8,R_10xfP6qQsG4YJ0B,2c
9,R_3qO5lNRyIBHOTag,2d
10,R_1dgmDJmVorUGtcj,2e
11,R_qJBa68ifKGmKRwd,2f
12,R_32PjbocnctE0SJt,3a
13,R_3MMV16tlEg5mPfo,3b
14,R_1Mky0EtbuXv5ieZ,3c
15,R_22R38F7Ad2j8ufo,3d
16,R_9nwYBZmXorKUCD7,3e
17,R_UnH1EXfIhVntSwh,3f
18,R_4NrMBL078CLDnXP,4a
19,R_AB9p5276nWIr3MZ,4b
20,R_3HYWVrlx4BYGbkg,4c
21,R_1LHBqoBotwOK2Wm,4d
22,R_1isVrfIwQiB0w0C,4e
23,R_24H5cvIZWGzWkKq,4f
24,R_VUVAOFX7yeE6ryp,5a
25,R_0qXSyQfoqqn4wGl,5b
26,R_3lynYAtYwXFfzom,5c
27,R_9MK0yGmMyvRnofn,5d
28,R_2SpZ8EiRsUy9WOo,5e
29,R_24o4tMC8EuA0n1x,5f
30,R_1loSbYcinn1PTGB,6a
31,R_2CUh29dNcsq2gqv,6b
32,R_1FeSKtG5EfWqgeZ,6c
33,R_1PRX7GjClvimkop,6d
34,R_2t6a9dfxb0EAXrc,6e
35,R_D1RTCEB1aQaJAJz,6f
36,R_2EAIP8waE3tPxBq,7a
37,R_1n7q8PNfmcYOloJ,7b
38,R_u9Wn1htxWOGtbDX,7c
39,R_C9O5ID069heJeHn,7d
40,R_1dd9HbiNuiisl2g,7e
41,R_vou2BCXk3IgQz4J,7f
42,R_2VsjcnmX7eJTrF7,8a
43,R_24k0lyzr8tVWtbG,8b
44,R_3dLzxzNjMPDBo3Z,8c
45,R_3NUKPoeqgj36WGQ,8d
46,R_237E9KdVoxdj2jh,8e
47,R_2yd26mFqMyYKbM4,8f
