R_21HvIc7qlSX11ZM,agriculture,1
R_2ZJRCK5hj0zhs1o,agriculture,1
R_oY3mYA6ykX2NCLv,agriculture,1
R_3erhyu7B5VGpoy6,agriculture,1
R_2uIZInLZQW9weeW,agriculture,1
R_10xfP6qQsG4YJ0B,agriculture,1
R_32PjbocnctE0SJt,agriculture,1
R_3MMV16tlEg5mPfo,agriculture,1
R_1Mky0EtbuXv5ieZ,agriculture,1
R_4NrMBL078CLDnXP,agriculture,1
R_AB9p5276nWIr3MZ,business & computer information systems,1
R_3HYWVrlx4BYGbkg,business & computer information systems,1
R_VUVAOFX7yeE6ryp,business & computer information systems,1
R_0qXSyQfoqqn4wGl,education,1
R_3lynYAtYwXFfzom,education,1
R_1loSbYcinn1PTGB,education,1
R_2CUh29dNcsq2gqv,education,1
R_1FeSKtG5EfWqgeZ,education,1
R_2EAIP8waE3tPxBq,education,1
R_1n7q8PNfmcYOloJ,engineering & computer science,1
R_u9Wn1htxWOGtbDX,engineering & computer science,1
R_2VsjcnmX7eJTrF7,engineering & computer science,1
R_24k0lyzr8tVWtbG,engineering & computer science,1
R_3dLzxzNjMPDBo3Z,engineering & computer science,1
R_3NUKPoeqgj36WGQ,engineering & computer science,1
R_237E9KdVoxdj2jh,engineering & computer science,1
R_2yd26mFqMyYKbM4,engineering & computer science,1
R_C9O5ID069heJeHn,engineering & computer science,1
R_1dd9HbiNuiisl2g,environmental science,1
R_vou2BCXk3IgQz4J,environmental science,1
R_1PRX7GjClvimkop,life science,1
R_2t6a9dfxb0EAXrc,life science,1
R_D1RTCEB1aQaJAJz,life science,1
R_9MK0yGmMyvRnofn,life science,1
R_2SpZ8EiRsUy9WOo,life science,1
R_24o4tMC8EuA0n1x,life science,1
R_1LHBqoBotwOK2Wm,life science,1
R_1isVrfIwQiB0w0C,life science,1
R_24H5cvIZWGzWkKq,life science,1
R_22R38F7Ad2j8ufo,life science,1
R_9nwYBZmXorKUCD7,life science,1
R_UnH1EXfIhVntSwh,mathematics,1
R_3qO5lNRyIBHOTag,mathematics,1
R_1dgmDJmVorUGtcj,physical science,1
R_qJBa68ifKGmKRwd,physical science,1
R_3dSSaFGVIcHQ3AB,physical science,1
R_1jBejsKdN7j1Q00,physical science,1
R_0qPbAUyJUchgI4p,agriculture,2
R_1QMg77KJWZrm1zP,agriculture,2
R_xzaBraIsto7E0Rb,agriculture,2
R_2y7uE0ZIgha9xdL,agriculture,2
R_1LNLUNmSgGtujIX,agriculture,2
R_NXBjKhy5XBpJK3n,agriculture,2
R_31XFkqoNmBU60Cc,business & computer information systems,2
R_3fVSZXU7HNOiIsa,business & computer information systems,2
R_eROZAqRHy9lbqT3,business & computer information systems,2
R_10vXXjempR6nZD0,business & computer information systems,2
R_6qToDVshodf04ed,education,2
R_wWNPIWBPbtd63gB,education,2
R_1jUqFwzdkkBc41C,education,2
R_3kcRtjs7Hnbx0X1,education,2
R_2R8hsrEWhfei5r5,education,2
R_2OI33dIQHCetQ0w,education,2
R_31c7lJBBpBCe9ty,engineering & computer science,2
R_2y9g4o3BFFKloEW,engineering & computer science,2
R_1I4wISTRPCK3psp,engineering & computer science,2
R_3Lha7d14oRHlwsM,engineering & computer science,2
R_spznLQvIsWINbxL,engineering & computer science,2
R_rrN8HwsFpHISFdn,engineering & computer science,2
R_5sZLFtDdxQOucwR,engineering & computer science,2
R_29tPTrsVJRd0WrY,engineering & computer science,2
R_2wiVy8hHTFtaDji,environmental science,2
R_3FV89BXpkghpNyE,environmental science,2
R_2S7fpDi2ArVVO4Y,environmental science,2
R_1mygmhObIpIDAhg,environmental science,2
R_3DwiOaw9fGXmmUF,humanities or social science,2
R_2DP9r8DDq8rvgmN,life science,2
R_3kiUooKLLaCbChh,life science,2
R_TdvFBgV2Yw5Ie8V,life science,2
R_3HOCkHN2U4E8sTj,life science,2
R_3D0lo7gQevr6aPB,life science,2
R_3shU3hGqUO9PJ0x,life science,2
R_3phDk9LzMpnNoFg,life science,2
R_d3Z9P1bioEoxc6R,mathematics,2
R_XMIGl4PTMKC9LUJ,mathematics,2
R_1gbHpIeBwIpJ7Ro,mathematics,2
R_3m9wL3w6O7qfIQX,physical science,2
R_2dmTAOhsT492jhO,physical science,2
R_2azPtAMlz9152MU,physical science,2
R_s4NG5GTzEZ8bx7j,physical science,2
R_ah521l1C2cfrbBn,physical science,2
R_1rN6i9cjsKZxDxx,physical science,2
R_31M1qBjJC08C8Xu,physical science,2
R_3k6UYN56Ox3HOHY,physical science,2
R_2lvCGvGnWv15ZhT,agriculture,3
