,Poster_ID,Poster_Location
0,R_2lvCGvGnWv15ZhT,1a
1,R_26m6UiXHcCsj8WD,1b
2,R_sYkyU1G1zUumWJj,1c
3,R_2QSd70cu3D9qgt2,1d
4,R_5i62j3TESkuLS8x,1e
5,0,1f
6,R_2fjJcJtgw37COZU,2a
7,R_3p90ZtSkCO7rfWz,2b
8,R_1r0Nb9YyJSRjbrj,2c
9,R_1puMTvJRHoTkej6,2d
10,R_29mMkji2Wnfxn1g,2e
11,R_3Kw6RI5fihFPb51,2f
12,R_2V3g6b2AtJYS808,3a
13,R_Ug8bi9HsOPTFDa1,3b
14,R_3e98jjoCKWxz387,3c
15,R_UuwQHFieSzz7Kal,3d
16,R_2UYQhQbwq1RrBUK,3e
17,R_1LdK54eb9MasGC0,3f
18,R_1IBhJRlpVdvOVIe,4a
19,R_3qSZmoeSpxwWTSh,4b
20,R_aaey8wxcdDwYpTr,4c
21,R_1H6OdPefE3ubEH4,4d
22,R_8B0IfFpnRxtW4ol,4e
23,R_1opPT8a3KAn00R1,4f
24,R_1Ln6I4PLDl3mddQ,5a
25,R_DAgZk4NHdSIMS9b,5b
26,R_3dSuAkNDDkoGQLN,5c
27,R_1DO2CdUFbRU5Lm9,5d
28,R_3EoGkrACFBzjJfw,5e
29,R_2YDNK7KHevvhgw5,5f
30,R_ueLTNgngOxNqUo1,6a
31,R_Z8CZ98s88RNc2WJ,6b
32,R_2AXrYLGWgR9kQgy,6c
33,R_3fqPRzF1qqQx7U2,6d
34,R_9mfyLzqmQ7qXvZD,6e
35,R_1FKVWTrGOsew0eo,6f
36,R_2VHGaqExVYrgODK,7a
37,R_1LciRw7hFosUOJD,7b
38,R_DbGKnIOy58KVbwd,7c
39,R_2z8ZBojCJYh9MJ4,7d
40,R_2AExqzshzf3qC1F,7e
41,R_1DtLh7LI3NIeIxg,7f
42,R_9WR2xrY7NWAM73X,8a
43,R_3JgXb2y6z5myWXc,8b
44,R_2YJQ5wjXFH7CR00,8c
45,R_2TufKLBP4Ojobzm,8d
46,R_1pSUJmTCKVYFVAp,8e
47,R_6WLX42XY5FGQGDn,8f
