,Poster_ID,Poster_Location
0,R_0qPbAUyJUchgI4p,1a
1,R_1QMg77KJWZrm1zP,1b
2,R_xzaBraIsto7E0Rb,1c
3,R_31M1qBjJC08C8Xu,1d
4,R_3k6UYN56Ox3HOHY,1e
5,0,1f
6,R_2y7uE0ZIgha9xdL,2a
7,R_1LNLUNmSgGtujIX,2b
8,R_NXBjKhy5XBpJK3n,2c
9,R_s4NG5GTzEZ8bx7j,2d
10,R_ah521l1C2cfrbBn,2e
11,R_1rN6i9cjsKZxDxx,2f
12,R_31XFkqoNmBU60Cc,3a
13,R_3fVSZXU7HNOiIsa,3b
14,R_eROZAqRHy9lbqT3,3c
15,R_3m9wL3w6O7qfIQX,3d
16,R_2dmTAOhsT492jhO,3e
17,R_2azPtAMlz9152MU,3f
18,R_10vXXjempR6nZD0,4a
19,R_6qToDVshodf04ed,4b
20,R_wWNPIWBPbtd63gB,4c
21,R_d3Z9P1bioEoxc6R,4d
22,R_XMIGl4PTMKC9LUJ,4e
23,R_1gbHpIeBwIpJ7Ro,4f
24,R_1jUqFwzdkkBc41C,5a
25,R_3kcRtjs7Hnbx0X1,5b
26,R_2R8hsrEWhfei5r5,5c
27,R_3D0lo7gQevr6aPB,5d
28,R_3shU3hGqUO9PJ0x,5e
29,R_3phDk9LzMpnNoFg,5f
30,R_2OI33dIQHCetQ0w,6a
31,R_31c7lJBBpBCe9ty,6b
32,R_2y9g4o3BFFKloEW,6c
33,R_3kiUooKLLaCbChh,6d
34,R_TdvFBgV2Yw5Ie8V,6e
35,R_3HOCkHN2U4E8sTj,6f
36,R_1I4wISTRPCK3psp,7a
37,R_3Lha7d14oRHlwsM,7b
38,R_spznLQvIsWINbxL,7c
39,R_1mygmhObIpIDAhg,7d
40,R_3DwiOaw9fGXmmUF,7e
41,R_2DP9r8DDq8rvgmN,7f
42,R_rrN8HwsFpHISFdn,8a
43,R_5sZLFtDdxQOucwR,8b
44,R_29tPTrsVJRd0WrY,8c
45,R_2wiVy8hHTFtaDji,8d
46,R_3FV89BXpkghpNyE,8e
47,R_2S7fpDi2ArVVO4Y,8f
